町丁別	世帯数	総数	男	女	男per女100人	人口密度	小計
南台総数	10911	19520	9810	9710	101.03	24099	1
南台一丁目	759	1299	640	659	97.12	16238	0
南台二丁目	2854	5053	2555	2498	102.28	31581	0
南台三丁目	2730	5008	2520	2488	101.29	23848	0
南台四丁目	2336	4144	2053	2091	98.18	21811	0
南台五丁目	2232	4016	2042	1974	103.44	23624	0
弥生町総数	12601	21548	10558	10990	96.07	21335	1
弥生町一丁目	3665	5988	3065	2923	104.86	28514	0
弥生町二丁目	2851	4672	2251	2421	92.98	25956	0
弥生町三丁目	1700	2948	1474	1474	100	26800	0
弥生町四丁目	1674	3022	1453	1569	92.61	20147	0
弥生町五丁目	1837	3300	1585	1715	92.42	12222	0
弥生町六丁目	874	1618	730	888	82.21	17978	0
本町総数	17546	28136	13874	14262	97.28	26543	1
本町一丁目	2210	3554	1761	1793	98.22	29617	0
本町二丁目	2617	4233	2139	2094	102.15	19241	0
本町三丁目	3260	5074	2528	2546	99.29	29847	0
本町四丁目	4293	6888	3399	3489	97.42	31309	0
本町五丁目	2339	3689	1796	1893	94.88	23056	0
本町六丁目	2827	4698	2251	2447	91.99	27635	0
中央総数	17145	27662	13823	13839	99.88	23847	1
中央一丁目	3369	5262	2619	2643	99.09	22878	0
中央二丁目	3924	6358	3257	3101	105.03	21193	0
中央三丁目	3228	5229	2615	2614	100.04	26145	0
中央四丁目	3608	5887	2927	2960	98.89	25596	0
中央五丁目	3016	4926	2405	2521	95.4	24630	0
東中野総数	13486	21456	10547	10909	96.68	22585	1
東中野一丁目	3948	6054	3024	3030	99.8	25225	0
東中野二丁目	2571	4485	2140	2345	91.26	20386	0
東中野三丁目	1969	3003	1420	1583	89.7	18769	0
東中野四丁目	2390	3586	1762	1824	96.6	22413	0
東中野五丁目	2608	4328	2201	2127	103.48	25459	0
中野総数	15348	25192	12830	12362	103.79	17137	1
中野一丁目	3337	5674	2921	2753	106.1	22696	0
中野二丁目	1501	2667	1321	1346	98.14	12700	0
中野三丁目	3374	5279	2673	2606	102.57	21996	0
中野四丁目	803	1327	642	685	93.72	4147	0
中野五丁目	4159	6467	3330	3137	106.15	21557	0
中野六丁目	2174	3778	1943	1835	105.89	25187	0
上高田総数	12505	20534	10645	9889	107.64	20331	1
上高田一丁目	3161	5330	2709	2621	103.36	19741	0
上高田二丁目	3297	5096	2768	2328	118.9	25480	0
上高田三丁目	2038	3158	1616	1542	104.8	24292	0
上高田四丁目	2089	3645	1858	1787	103.97	19184	0
上高田五丁目	1920	3305	1694	1611	105.15	15023	0
新井総数	10789	17663	9016	8647	104.27	21806	1
新井一丁目	2847	4384	2199	2185	100.64	29227	0
新井二丁目	3071	4984	2568	2416	106.29	24920	0
新井三丁目	1688	3021	1608	1413	113.8	12588	0
新井四丁目	1681	2933	1466	1467	99.93	24442	0
新井五丁目	1502	2341	1175	1166	100.77	23410	0
沼袋総数	8199	13625	6816	6809	100.1	20336	1
沼袋一丁目	2195	3565	1835	1730	106.07	20971	0
沼袋二丁目	1959	3339	1656	1683	98.4	18550	0
沼袋三丁目	2045	3265	1660	1605	103.43	20406	0
沼袋四丁目	2000	3456	1665	1791	92.96	21600	0
松が丘総数	3570	6321	3226	3095	104.23	16634	1
松が丘一丁目	1920	3327	1706	1621	105.24	15843	0
松が丘二丁目	1650	2994	1520	1474	103.12	17612	0
江原町総数	4613	8716	4287	4429	96.79	16762	1
江原町一丁目	1575	3164	1503	1661	90.49	15067	0
江原町二丁目	1747	3283	1644	1639	100.31	18239	0
江原町三丁目	1291	2269	1140	1129	100.97	17454	0
江古田総数	5906	11714	5716	5998	95.3	15413	1
江古田一丁目	1562	3233	1638	1595	102.7	17016	0
江古田二丁目	1334	2576	1221	1355	90.11	21467	0
江古田三丁目	562	1479	618	861	71.78	6430	0
江古田四丁目	2448	4426	2239	2187	102.38	20118	0
丸山総数	2628	4828	2360	2468	95.62	17243	1
丸山一丁目	1089	2008	986	1022	96.48	14343	0
丸山二丁目	1539	2820	1374	1446	95.02	20143	0
野方総数	12535	20881	10584	10297	102.79	22697	1
野方一丁目	3070	4911	2584	2327	111.04	25847	0
野方二丁目	2762	4845	2514	2331	107.85	24225	0
野方三丁目	1589	2715	1407	1308	107.57	22625	0
野方四丁目	1950	3225	1604	1621	98.95	21500	0
野方五丁目	1251	2133	1016	1117	90.96	19391	0
野方六丁目	1913	3052	1459	1593	91.59	20347	0
大和町総数	9268	15191	7911	7280	108.67	21396	1
大和町一丁目	3263	5019	2633	2386	110.35	25095	0
大和町二丁目	1973	3234	1709	1525	112.07	21560	0
大和町三丁目	2107	3294	1725	1569	109.94	21960	0
大和町四丁目	1925	3644	1844	1800	102.44	17352	0
若宮総数	7236	12412	6187	6225	99.39	18525	1
若宮一丁目	2392	3939	1967	1972	99.75	20732	0
若宮二丁目	2190	3997	2020	1977	102.18	19033	0
若宮三丁目	2654	4476	2200	2276	96.66	16578	0
白鷺総数	5507	10745	5071	5674	89.37	17331	1
白鷺一丁目	1808	3552	1657	1895	87.44	16145	0
白鷺二丁目	2067	3986	1875	2111	88.82	18118	0
白鷺三丁目	1632	3207	1539	1668	92.27	17817	0
鷺宮総数	8480	15590	7670	7920	96.84	17920	1
鷺宮一丁目	1400	2419	1223	1196	102.26	18608	0
鷺宮二丁目	784	1386	631	755	83.58	15400	0
鷺宮三丁目	1991	3382	1657	1725	96.06	18789	0
鷺宮四丁目	1644	2970	1485	1485	100	14850	0
鷺宮五丁目	1103	2201	1106	1095	101	20009	0
鷺宮六丁目	1558	3232	1568	1664	94.23	20200	0
上鷺宮総数	5994	13016	6273	6743	93.03	14303	1
上鷺宮一丁目	1041	2177	1086	1091	99.54	15550	0
上鷺宮二丁目	1165	2503	1213	1290	94.03	11919	0
上鷺宮三丁目	930	2175	1020	1155	88.31	15536	0
上鷺宮四丁目	1229	2433	1150	1283	89.63	17379	0
上鷺宮五丁目	1629	3728	1804	1924	93.76	13314	0
