町丁別	世帯数	総数	男	女	男per女100人	人口密度	小計
南台総数	10396	19558	9878	9680	102.05	24146	1
南台一丁目	759	1371	672	699	96.14	17138	0
南台二丁目	2695	5135	2609	2526	103.29	32094	0
南台三丁目	2517	4864	2513	2351	106.89	23162	0
南台四丁目	2309	4208	2093	2115	98.96	22147	0
南台五丁目	2116	3980	1991	1989	100.1	23412	0
弥生町総数	12164	21765	10656	11109	95.92	21550	1
弥生町一丁目	3339	5791	2974	2817	105.57	27576	0
弥生町二丁目	2682	4590	2224	2366	94	25500	0
弥生町三丁目	1759	3197	1570	1627	96.5	29064	0
弥生町四丁目	1623	3010	1471	1539	95.58	20067	0
弥生町五丁目	1642	3192	1548	1644	94.16	11822	0
弥生町六丁目	1119	1985	869	1116	77.87	22056	0
本町総数	16242	27482	13462	14020	96.02	25926	1
本町一丁目	2049	3389	1656	1733	95.56	28242	0
本町二丁目	2587	4378	2228	2150	103.63	19900	0
本町三丁目	2837	4661	2301	2360	97.5	27418	0
本町四丁目	3903	6520	3153	3367	93.64	29636	0
本町五丁目	2319	4022	1951	2071	94.21	25138	0
本町六丁目	2547	4512	2173	2339	92.9	26541	0
中央総数	16436	27613	13860	13753	100.78	23804	1
中央一丁目	3153	5242	2609	2633	99.09	22791	0
中央二丁目	3757	6409	3255	3154	103.2	21363	0
中央三丁目	3129	5242	2682	2560	104.77	26210	0
中央四丁目	3571	5933	2907	3026	96.07	25796	0
中央五丁目	2826	4787	2407	2380	101.13	23935	0
東中野総数	11587	19623	9632	9991	96.41	20656	1
東中野一丁目	3488	5691	2779	2912	95.43	23713	0
東中野二丁目	2268	4178	2051	2127	96.43	18991	0
東中野三丁目	1836	2960	1442	1518	94.99	18500	0
東中野四丁目	2024	3205	1562	1643	95.07	20031	0
東中野五丁目	1971	3589	1798	1791	100.39	21112	0
中野総数	14444	25076	12738	12338	103.24	17059	1
中野一丁目	3214	5712	2971	2741	108.39	22848	0
中野二丁目	1415	2634	1293	1341	96.42	12543	0
中野三丁目	3291	5444	2756	2688	102.53	22683	0
中野四丁目	838	1534	771	763	101.05	4794	0
中野五丁目	3656	6103	3088	3015	102.42	20343	0
中野六丁目	2030	3649	1859	1790	103.85	24327	0
上高田総数	11925	20451	10534	9917	106.22	20249	1
上高田一丁目	3118	5432	2783	2649	105.06	20119	0
上高田二丁目	3184	5048	2683	2365	113.45	25240	0
上高田三丁目	1914	3150	1641	1509	108.75	24231	0
上高田四丁目	1881	3439	1729	1710	101.11	18100	0
上高田五丁目	1828	3382	1698	1684	100.83	15373	0
新井総数	10008	17210	8725	8485	102.83	21247	1
新井一丁目	2522	4064	2064	2000	103.2	27093	0
新井二丁目	2887	4899	2508	2391	104.89	24495	0
新井三丁目	1604	3026	1583	1443	109.7	12608	0
新井四丁目	1563	2856	1414	1442	98.06	23800	0
新井五丁目	1432	2365	1156	1209	95.62	23650	0
沼袋総数	7541	13360	6611	6749	97.96	19940	1
沼袋一丁目	1989	3457	1757	1700	103.35	20335	0
沼袋二丁目	1851	3340	1609	1731	92.95	18556	0
沼袋三丁目	1888	3207	1602	1605	99.81	20044	0
沼袋四丁目	1813	3356	1643	1713	95.91	20975	0
松が丘総数	3182	5868	2962	2906	101.93	15442	1
松が丘一丁目	1768	3194	1626	1568	103.7	15210	0
松が丘二丁目	1414	2674	1336	1338	99.85	15729	0
江原町総数	4316	8647	4289	4358	98.42	16629	1
江原町一丁目	1496	3167	1541	1626	94.77	15081	0
江原町二丁目	1533	3109	1546	1563	98.91	17272	0
江原町三丁目	1287	2371	1202	1169	102.82	18238	0
江古田総数	5981	12449	6121	6328	96.73	16380	1
江古田一丁目	1520	3241	1637	1604	102.06	17058	0
江古田二丁目	1187	2444	1162	1282	90.64	20367	0
江古田三丁目	898	2275	1070	1205	88.8	9891	0
江古田四丁目	2376	4489	2252	2237	100.67	20405	0
丸山総数	2436	4631	2268	2363	95.98	16539	1
丸山一丁目	987	1899	954	945	100.95	13564	0
丸山二丁目	1449	2732	1314	1418	92.67	19514	0
野方総数	11476	20084	10156	9928	102.3	21830	1
野方一丁目	2730	4669	2418	2251	107.42	24574	0
野方二丁目	2584	4530	2378	2152	110.5	22650	0
野方三丁目	1512	2665	1364	1301	104.84	22208	0
野方四丁目	1774	3112	1541	1571	98.09	20747	0
野方五丁目	1120	2143	1048	1095	95.71	19482	0
野方六丁目	1756	2965	1407	1558	90.31	19767	0
大和町総数	8990	15347	8068	7279	110.84	21615	1
大和町一丁目	3181	5103	2686	2417	111.13	25515	0
大和町二丁目	1853	3160	1717	1443	118.99	21067	0
大和町三丁目	2029	3360	1754	1606	109.22	22400	0
大和町四丁目	1927	3724	1911	1813	105.41	17733	0
若宮総数	6828	12268	6140	6128	100.2	18310	1
若宮一丁目	2186	3766	1913	1853	103.24	19821	0
若宮二丁目	2054	3940	2002	1938	103.3	18762	0
若宮三丁目	2588	4562	2225	2337	95.21	16896	0
白鷺総数	5457	11157	5285	5872	90	17995	1
白鷺一丁目	1947	3946	1859	2087	89.08	17936	0
白鷺二丁目	2026	4016	1910	2106	90.69	18255	0
白鷺三丁目	1484	3195	1516	1679	90.29	17750	0
鷺宮総数	7885	15305	7584	7721	98.23	17592	1
鷺宮一丁目	1453	2515	1271	1244	102.17	19346	0
鷺宮二丁目	559	1258	576	682	84.46	13978	0
鷺宮三丁目	1921	3404	1687	1717	98.25	18911	0
鷺宮四丁目	1510	2945	1454	1491	97.52	14725	0
鷺宮五丁目	1040	2066	1067	999	106.81	18782	0
鷺宮六丁目	1402	3117	1529	1588	96.28	19481	0
上鷺宮総数	5492	12733	6174	6559	94.13	13992	1
上鷺宮一丁目	1007	2145	1057	1088	97.15	15321	0
上鷺宮二丁目	1164	2666	1298	1368	94.88	12695	0
上鷺宮三丁目	814	2054	992	1062	93.41	14671	0
上鷺宮四丁目	1082	2419	1148	1271	90.32	17279	0
上鷺宮五丁目	1425	3449	1679	1770	94.86	12318	0
